PlayerNo,card1,card2,card3,card4,card5,sumofcards,dealcard1,dealcard2,dealcard3,dealcard4,dealcard5,sumofdeal,blkjck,winloss,plybustbeat,dlbustbeat,plwinamt,dlwinamt,ply2cardsum
0,Player1,1,1,10,0,0,12,4,10,1,1,9,25,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,10,1,10,0,25,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,10,10,0,0,24,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,10,10,0,0,24,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,10,10,0,0,24,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,10,4,0,0,18,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,10,4,0,0,18,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,10,7,0,0,21,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,10,8,0,0,22,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,11,1,3,0,19,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,11,1,5,0,21,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,2,4,10,0,20,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,3,3,5,10,25,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,4,10,0,0,18,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,4,10,0,0,18,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,5,5,10,0,24,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,8,7,0,0,19,nowin,Loss,Beat,Dlwin,0,10,2
0,Player1,1,1,10,0,0,12,4,9,1,10,0,24,nowin,Win,DlBust,Bust,20,0,2
0,Player1,1,1,10,0,0,12,4,9,1,10,0,24,nowin,Win,DlBust,Bust,20,0,2
